"column","pandas_dtype","suggested_sql_type","non_null_count","missing_count","source"
"age_group","object","TEXT","8153","3780","BASE"
"age_years","float64","DOUBLE PRECISION","11933","0","BASE"
"BMXARMC","float64","DOUBLE PRECISION","8562","3371","BMX"
"BMXARML","float64","DOUBLE PRECISION","8568","3365","BMX"
"BMXBMI","float64","DOUBLE PRECISION","8471","3462","BMX"
"BMXHIP","float64","DOUBLE PRECISION","6776","5157","BMX"
"BMXHT","float64","DOUBLE PRECISION","8499","3434","BMX"
"BMXLEG","float64","DOUBLE PRECISION","7335","4598","BMX"
"BMXWAIST","float64","DOUBLE PRECISION","8190","3743","BMX"
"BMXWT","float64","DOUBLE PRECISION","8754","3179","BMX"
"dpq_cat","object","TEXT","5455","6478","BASE"
"dpq_total","float64","DOUBLE PRECISION","5455","6478","BASE"
"educ_level","float64","DOUBLE PRECISION","7794","4139","BASE"
"ever_cancer","float64","DOUBLE PRECISION","7800","4133","BASE"
"hscrp_cat","object","TEXT","7282","4651","BASE"
"hscrp_mg_l_raw","float64","DOUBLE PRECISION","7282","4651","BASE"
"mcq220","float64","DOUBLE PRECISION","7807","4126","BASE"
"pir","float64","DOUBLE PRECISION","9892","2041","BASE"
"race_eth","int64","SMALLINT","11933","0","BASE"
"seqn","int64","BIGINT","11933","0","BASE"
"sex","int64","SMALLINT","11933","0","BASE"
"smoke_status","object","TEXT","8121","3812","BASE"
