"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"130378","43","40-49","1","6","5","5"
"130379","66","60+","1","3","5","5"
"130380","44","40-49","2","2","3","1.41"
"130381","5",NULL,"2","7",NULL,"1.53"
"130382","2",NULL,"1","3",NULL,"3.6"
"130383","3",NULL,"2","2",NULL,NULL
"130384","43","40-49","1","1","2","0.63"
"130385","65","60+","2","3","3","5"
"130386","34","30-39","1","1","4","1.33"
"130387","68","60+","2","3","5","1.32"
"130388","27","18-29","2","4","4","0.81"
"130389","59","50-59","1","3","5","5"
"130390","31","30-39","2","3","3","2.16"
"130391","33","30-39","2","3","3","0.93"
"130392","74","60+","2","3","5","3.04"
"130393","39","30-39","1","3","5","5"
"130394","51","50-59","1","3","5","5"
"130395","33","30-39","2","7","3","1.1"
"130396","56","50-59","2","3","4","4.82"
"130397","67","60+","2","3","3","4.48"
"130398","47","40-49","1","1","3","1.67"
"130399","68","60+","1","3","5","5"
"130400","26","18-29","1","2","3","0.91"
"130401","18","18-29","1","3",NULL,"3.36"
"130402","26","18-29","2","3","5","5"
"130403","12",NULL,"2","2",NULL,"5"
"130404","73","60+","2","3","4","4.42"
"130405","3",NULL,"2","4",NULL,"1.3"
"130406","26","18-29","2","3","3","3.22"
"130407","73","60+","2","3","5","4.37"
"130408","80","60+","1","4","2","1.02"
"130409","68","60+","1","3","4","3.14"
"130410","77","60+","2","3","1","3.62"
"130411","4",NULL,"1","3",NULL,"2.16"
"130412","7",NULL,"1","4",NULL,"0.63"
"130413","67","60+","2","2","2","0.05"
"130414","16",NULL,"1","1",NULL,"0.02"
"130415","61","60+","2","4","3","0.11"
"130416","59","50-59","2","2","3",NULL
"130417","58","50-59","2","3","4","5"
"130418","53","50-59","1","3","3","0.2"
"130419","18","18-29","2","6",NULL,"2.64"
"130420","18","18-29","1","3",NULL,"1.02"
"130421","13",NULL,"2","2",NULL,"2.09"
"130422","66","60+","1","3","4","3.82"
"130423","15",NULL,"1","2",NULL,"1.99"
"130424","19","18-29","2","3",NULL,NULL
"130425","68","60+","2","3","4","1.91"
"130426","67","60+","1","1","1","0.88"
"130427","80","60+","1","3","5","2.46"
"130428","2",NULL,"2","4",NULL,NULL
"130429","14",NULL,"1","3",NULL,"3.42"
"130430","27","18-29","2","3","5","3.43"
"130431","80","60+","2","1","1","1.19"
"130432","11",NULL,"1","7",NULL,"1.14"
"130433","14",NULL,"2","3",NULL,"5"
"130434","54","50-59","1","7","3","0.67"
"130435","17",NULL,"1","7",NULL,"5"
"130436","50","50-59","1","3","5","5"
"130437","43","40-49","2","3","4","1.09"
"130438","63","60+","1","2","3","5"
"130439","42","40-49","1","3","2","1.03"
"130440","19","18-29","2","3",NULL,"4.22"
"130441","33","30-39","2","6","5","5"
"130442","43","40-49","1","3","5","5"
"130443","41","40-49","1","3","1","0.65"
"130444","77","60+","2","3","3","4.36"
"130445","38","30-39","2","1","5","5"
"130446","57","50-59","1","4","4",NULL
"130447","14",NULL,"1","4",NULL,"5"
"130448","13",NULL,"2","1",NULL,"1.81"
