,OR,OR_ci_lower,OR_ci_upper,p,sig_95,beta,ci_lower,ci_upper
Intercept,0.3317594961671397,0.04071617716809488,2.70320965651266,0.30260782328246283,False,-1.1033449817118521,-3.2011297920876567,0.9944398286639524
C(sex)[T.2],1.6665407378965365,0.8551009852050544,3.2479883418713613,0.13356663203997982,False,0.5107500636493189,-0.1565357056690324,1.1780358329676701
C(race_eth)[T.2],0.18745287089821352,0.026304590866004587,1.335834455170886,0.0947273905600187,False,-1.6742278203762146,-3.638011797389071,0.2895561566366416
C(race_eth)[T.3],0.16346118260896694,0.04074739280641544,0.6557366344114952,0.01060818388794408,True,-1.8111797320679637,-3.2003634215527503,-0.42199604258317724
C(race_eth)[T.4],0.626243173054742,0.12398643653737912,3.163092050632795,0.5711332119801855,False,-0.4680165279522755,-2.0875831021229025,1.1515500462183514
C(race_eth)[T.6],0.2991507480238434,0.024593173582005055,3.638862212915301,0.34379376153923324,False,-1.206807658651668,-3.7052863712196054,1.291671053916269
C(race_eth)[T.7],0.2028525081897935,0.03399198132212242,1.2105543271792114,0.08006390918600849,False,-1.5952761246548617,-3.381630625648407,0.19107837633868363
dpq_total,1.0809124708068292,1.02165131911605,1.1436110810845128,0.006839980605639647,True,0.07780556480230094,0.02142025853485078,0.1341908710697511
hscrp_mg_l_raw,1.0108044853989795,0.9757696496836734,1.0470972406591252,0.5504414427283895,False,0.010746533996314084,-0.024528735093256787,0.04602180308588495
bmx_bmi,0.9756490467218447,0.92646776483255,1.0274411031896933,0.3502263389289575,False,-0.024652340511411682,-0.07637602627154456,0.027071345248721197
