,OR,OR_ci_lower,OR_ci_upper,p,sig_95,beta,ci_lower,ci_upper
Intercept,0.3343491140285237,0.013115534214582397,8.523429409940974,0.5072859695122438,False,-1.0955695803181003,-4.333957933394708,2.142818772758507
C(dpq_cat)[T.mod-severe],1.568051809525039,0.27977450615784943,8.788457930357298,0.6089870750613714,False,0.4498339631712762,-1.2737713354199867,2.173439261762539
C(dpq_cat)[T.moderate],0.7883867705312173,0.17847175639813914,3.4826446071504185,0.7537519355366367,False,-0.23776648399248632,-1.723324917743134,1.2477919497581615
C(dpq_cat)[T.none-minimal],0.6088511972669954,0.2512433016286034,1.4754613476678282,0.27190829673938754,False,-0.49618138059105166,-1.3813334801489037,0.38897071896680036
C(dpq_cat)[T.severe],3.6188400413786947,0.5048985192905485,25.937891961908367,0.20058283795877951,False,1.2861535439304672,-0.6833978218002195,3.255704909661154
C(hscrp_cat)[T.high],1.2691185215882028,0.5053597033917453,3.1871591878580605,0.6119610370599426,False,0.23832258199760112,-0.6824848193165411,1.1591299833117434
C(hscrp_cat)[T.low],2.240992988784232,0.9673717778939152,5.1914369330824295,0.05975845021801011,False,0.8069190662035576,-0.033172392169599774,1.6470105245767148
C(sex)[T.2],1.8134710854517253,0.8713303791017235,3.7743173618712103,0.1114597492860105,False,0.595242735556213,-0.13773406394421794,1.328219535056644
C(race_eth)[T.2.0],0.1634609258093626,0.02026002120059586,1.3188275570841024,0.089096824010331,False,-1.811181303081962,-3.8991057337358956,0.27674312757197206
C(race_eth)[T.3.0],0.14004369152373722,0.03019293334575852,0.6495637674883541,0.012035533529708823,True,-1.9658008227479795,-3.500147377156014,-0.43145426833994516
C(race_eth)[T.4.0],0.5714137715128074,0.09608723947072549,3.3980963556973482,0.5383989867595655,False,-0.5596416881234169,-2.3424987556858663,1.2232153794390324
bmx_bmi,0.9896018238146589,0.9129709705155492,1.0726647410752697,0.7993545666722068,False,-0.010452614923888943,-0.0910511946040001,0.07014596475622223
