,OR,OR_ci_lower,OR_ci_upper,p,sig_95,beta,ci_lower,ci_upper
Intercept,0.3386473213554726,0.013691501837693193,8.376145263006359,0.5082861892966579,False,-1.0827960631252143,-4.290979942434083,2.125387816183654
C(sex)[T.2],1.5089186900539144,0.7597658435210471,2.996759636682651,0.23993434166621508,False,0.4113932950032138,-0.2747449938047117,1.0975315838111392
C(race_eth)[T.2],0.21671458949912767,0.027278992801838247,1.7216622931404773,0.14813083407953956,False,-1.5291740469140973,-3.6016383674421935,0.5432902736139988
C(race_eth)[T.3],0.169503382586725,0.036289559293289135,0.7917262504109503,0.024012337433997038,True,-1.7748823960968914,-3.3162252018570992,-0.2335395903366837
C(race_eth)[T.4],0.37723531667457355,0.05301076003626709,2.6844830002287723,0.3302111274917766,False,-0.9748861040941154,-2.9372603664834864,0.9874881582952556
C(race_eth)[T.6],0.33450537009519105,0.026098517835933407,4.287363877363991,0.40009324351761166,False,-1.0951023454464832,-3.6458767541612547,1.4556720632682882
C(race_eth)[T.7],0.23016824483599294,0.03509904328970001,1.5093693720828019,0.12579251781588346,False,-1.4689447381872178,-3.349581405585491,0.41169192921105524
dpq_total,1.0845481739546656,1.0227646383932296,1.1500639516402213,0.0066852406913786785,True,0.08116347072669475,0.022509390502484704,0.13981755095090478
hscrp_mg_l_raw,0.9640600133827683,0.8110324081397534,1.145961246524481,0.6781114950047156,False,-0.03660173176288514,-0.20944726495026983,0.13624380142449954
bmx_bmi,0.9804975394752958,0.8968620377603597,1.0719323423676759,0.6650447753375079,False,-0.019695142808042482,-0.10885323280996793,0.06946294719388298
