,OR,OR_ci_lower,OR_ci_upper,p,sig_95,beta,ci_lower,ci_upper
Intercept,0.001238117260789383,0.000396918564430121,0.0038620878155838545,8.97759606174306e-31,True,-6.694163391281619,-7.83177942569863,-5.556547356864608
C(dpq_cat)[T.mod-severe],1.2622871931990982,0.6740126519664335,2.364004523454864,0.466852716331976,False,0.2329253081172725,-0.3945063967824607,0.8603570130170057
C(dpq_cat)[T.moderate],1.0734666097710035,0.6863594085039239,1.6789025516602416,0.7560482294915412,False,0.07089323377377975,-0.3763538693520164,0.518140336899576
C(dpq_cat)[T.none-minimal],1.054203418364633,0.7832239771396957,1.4189361915990704,0.7276908551853761,False,0.05278542804861726,-0.24433657390899116,0.34990743000622565
C(dpq_cat)[T.severe],1.3369805356715727,0.5618774853225715,3.1813286694312715,0.5114354373930792,False,0.2904137398025947,-0.5764714505000568,1.157298930105246
C(hscrp_cat)[T.high],0.8831307954252522,0.6773885270794043,1.15136287470221,0.3584045780941717,False,-0.12428196315836418,-0.3895102754419164,0.14094634912518808
C(hscrp_cat)[T.low],0.7988716511836608,0.601080258485091,1.0617482541738446,0.1218278514691807,False,-0.22455498293578227,-0.5090268117902808,0.05991684591871624
C(sex)[T.2],1.0265340720102318,0.8219336232442812,1.2820648422174643,0.8173837421024099,False,0.026188149337326924,-0.1960956374975325,0.24847193617218638
C(race_eth)[T.2.0],1.211349655931011,0.5261892891716348,2.788669437255585,0.6522169512920732,False,0.19173515611685438,-0.642094265635117,1.0255645778688258
C(race_eth)[T.3.0],2.7237746156647913,1.3493275814212913,5.498255767606306,0.005174492426533609,True,1.0020186446529427,0.2996063805273055,1.7044309087785798
C(race_eth)[T.4.0],1.3312337065353235,0.5979378345302929,2.9638251321024116,0.48354079934225846,False,0.286106111178406,-0.5142684860702286,1.0864807084270405
bmx_bmi,0.9922169435873375,0.9744032522021487,1.0103562985004853,0.3979350247104263,False,-0.007813502474724782,-0.025930044386191085,0.01030303943674152
age_years,1.076697732181432,1.0672668872900681,1.0862119122126974,6.723402667259025e-61,True,0.07389870156949013,0.06510106971188595,0.08269633342709432
