,OR,OR_ci_lower,OR_ci_upper,p,sig_95,beta,ci_lower,ci_upper
Intercept,0.0007216963530466871,0.0002971881575336587,0.00175257867044012,1.7577749155051453e-57,True,-7.23390607118039,-8.121145092705763,-6.346667049655016
C(sex)[T.2],1.0745663737352973,0.9025776409381914,1.2793280480140987,0.4190061706694337,False,0.07191720693325367,-0.10250056373498269,0.24633497760149003
C(race_eth)[T.2],1.4654005144607627,0.7265874555388688,2.9554579444111986,0.2856944400187468,False,0.38212859381556513,-0.3193964239478844,1.0836536115790147
C(race_eth)[T.3],3.3346881259114136,1.8194266244380628,6.111895224424935,9.771583045504286e-05,True,1.2043791595259015,0.598521409935152,1.810236909116651
C(race_eth)[T.4],1.2917090584909543,0.643097814650482,2.5944922432902517,0.4719322672334221,False,0.25596619307552115,-0.4414584439959318,0.9533908301469741
C(race_eth)[T.6],1.1520430808409154,0.4805542020294491,2.7618180311574823,0.7510373381255969,False,0.14153695813776015,-0.7328152535424608,1.015889169817981
C(race_eth)[T.7],3.1005435298545643,1.5560464059026837,6.178074216845837,0.0012956654224022992,True,1.1315774283333546,0.4421482491563903,1.821006607510319
dpq_total,1.0137592835100673,0.9938885866315158,1.0340272528794696,0.17605007786419236,False,0.01366548399871644,-0.006130164491442014,0.033461132488874896
hscrp_mg_l_raw,1.0055206233367981,0.9939796717025877,1.017195575261372,0.34992854979499033,False,0.005505440549121027,-0.006038523538120566,0.01704940463636262
bmx_bmi,0.9955308274345834,0.9818780074829212,1.0093734871537239,0.5249409681631358,False,-0.004479189172230604,-0.018288206977150022,0.009329828632688816
age_years,1.0777212567694014,1.0701173626797713,1.0853791815731781,2.3387898675891916e-95,True,0.07484886462525855,0.06776832720633248,0.08192940204418463
