term,OR,CI_lower,CI_upper
Intercept,0.234,0.071,0.774
C(smoke_status)[T.former],0.231,0.085,0.633
C(smoke_status)[T.never],0.627,0.269,1.461
C(sex)[T.2],1.0,,
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.421,0.152,1.168
C(educ_level)[T.4.0],1.032,0.522,2.04
C(educ_level)[T.5.0],1.0,,
C(educ_level)[T.9.0],1.0,,
C(race_eth)[T.2],1.0,,
C(race_eth)[T.3],0.554,0.198,1.547
C(race_eth)[T.4],1.409,0.354,5.611
C(race_eth)[T.6],1.0,,
C(race_eth)[T.7],0.585,0.137,2.493
dpq_total_std,1.467,1.113,1.934
log_hscrp_std,1.034,0.689,1.551
pir,1.0,,
