term,OR,CI_lower,CI_upper
Intercept,0.176,0.125,0.246
C(dpq_cat)[T.mod-severe],0.899,0.521,1.55
C(dpq_cat)[T.moderate],1.096,0.75,1.603
C(dpq_cat)[T.none-minimal],0.958,0.769,1.195
C(dpq_cat)[T.severe],1.0,,
C(hscrp_cat)[T.low],2.724,1.834,4.047
C(sex)[T.2],1.058,0.894,1.253
C(educ_level)[T.2.0],0.89,0.613,1.292
C(educ_level)[T.3.0],1.0,,
C(educ_level)[T.4.0],1.109,0.881,1.395
C(educ_level)[T.5.0],1.529,1.222,1.913
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],1.818,1.366,2.42
C(smoke_status)[T.never],1.252,0.944,1.662
