term,OR,CI_lower,CI_upper
Intercept,0.024,0.008,0.076
C(sex)[T.2],1.324,0.589,2.975
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.755,0.24,2.379
C(educ_level)[T.4.0],1.0,,
C(educ_level)[T.5.0],0.78,0.317,1.92
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],0.605,0.157,2.329
C(smoke_status)[T.never],0.717,0.245,2.094
C(race_eth)[T.2],1.0,,
C(race_eth)[T.3],1.146,0.502,2.617
C(race_eth)[T.4],1.0,,
C(race_eth)[T.6],0.696,0.084,5.755
C(race_eth)[T.7],1.0,,
dpq_total_std,1.0,,
log_hscrp_std,1.0,,
pir,1.0,,
