term,OR,CI_lower,CI_upper
Intercept,0.03,0.009,0.099
C(sex)[T.2],1.51,0.778,2.928
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.435,0.146,1.296
C(educ_level)[T.4.0],1.0,,
C(educ_level)[T.5.0],0.861,0.401,1.848
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],0.424,0.148,1.219
C(smoke_status)[T.never],0.541,0.24,1.219
C(race_eth)[T.2],0.744,0.183,3.029
C(race_eth)[T.3],1.272,0.508,3.182
C(race_eth)[T.4],1.139,0.339,3.826
C(race_eth)[T.6],0.435,0.05,3.8
C(race_eth)[T.7],1.0,,
dpq_total_std,1.106,0.826,1.481
log_hscrp_std,1.0,,
pir,1.074,0.853,1.352
