term,OR,CI_lower,CI_upper
Intercept,0.025,0.008,0.08
C(sex)[T.2],1.363,0.688,2.699
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.38,0.11,1.315
C(educ_level)[T.4.0],1.0,,
C(educ_level)[T.5.0],0.843,0.383,1.854
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],0.529,0.175,1.596
C(smoke_status)[T.never],0.651,0.268,1.577
C(race_eth)[T.2],0.887,0.231,3.399
C(race_eth)[T.3],1.511,0.657,3.471
C(race_eth)[T.4],1.0,,
C(race_eth)[T.6],0.5,0.06,4.198
C(race_eth)[T.7],1.0,,
dpq_total_std,1.138,0.842,1.538
log_hscrp_std,1.0,,
pir,1.066,0.836,1.359
