term,OR,CI_lower,CI_upper
Intercept,0.022,0.006,0.079
C(sex)[T.2],1.0,,
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],1.0,,
C(educ_level)[T.4.0],1.2,0.432,3.335
C(educ_level)[T.5.0],1.0,,
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],1.0,,
C(smoke_status)[T.never],0.583,0.213,1.6
C(race_eth)[T.2],1.0,,
C(race_eth)[T.3],1.027,0.372,2.834
C(race_eth)[T.4],1.0,,
C(race_eth)[T.6],1.0,,
C(race_eth)[T.7],1.0,,
dpq_total_std,0.919,0.55,1.536
log_hscrp_std,0.611,0.388,0.96
pir,1.094,0.793,1.509
