term,OR,CI_lower,CI_upper
Intercept,0.055,0.013,0.226
C(educ_level)[T.2.0],1.0,,
C(educ_level)[T.3.0],0.333,0.071,1.56
C(educ_level)[T.4.0],0.966,0.415,2.247
C(educ_level)[T.5.0],1.0,,
C(educ_level)[T.9.0],1.0,,
C(smoke_status)[T.former],0.256,0.063,1.038
C(smoke_status)[T.never],0.436,0.169,1.126
C(race_eth)[T.2],1.0,,
C(race_eth)[T.3],1.35,0.514,3.546
C(race_eth)[T.4],1.412,0.381,5.234
C(race_eth)[T.6],0.763,0.085,6.845
C(race_eth)[T.7],1.0,,
dpq_total_std,1.277,0.911,1.79
log_hscrp_std,0.988,0.713,1.369
pir,1.035,0.797,1.345
